Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
1018/DELNP/2003 A ,30/06/2003,01/01/2010,"""METHOD OF PREPARING BIOLOGICAL MATERIALS AND PREPARATION PRODUCED USING SAME"" ", 1)GAINFUL PLAN LIMITED  ,"TRIDENT CHAMBERS, PO BOX 146, ROAD TOWN, TORTOLA, BRITISH VIRGIN ISLANDS VIRGIN ISLANDS ", 1)THOMAS SAI-YING KO 2)TERENCE PING YUEN AUYEUNG ,"Methods for preparing products containing moisture-sensitive materials, including biological materials such as proteins, peptides or live cells, comprising at least the steps(i) providing a coating liquid comprising at least one active, a sugar polymer and a water soluble/miscible solvent; (ii) providing a quantity of microparticles comprising at least water soluble gel forming solid panicles; (iii) fluidizing said quantity of microparlicles within a processing chamber of a of a suitable apparatus to form a fluidized bed of said microparticles; (iv) spraying said coating liquid onto said fluidized bed from beneath the fluidized bed to coal said microparticles therewith under saturated moisture conditions; and (vi) allowing coated microparticles to dry, are described. Also described are compositions and uses.  ",57
1546/DELNP/2003 A ,26/09/2003,01/01/2010,"""CYCLOPROPYLINDOLE DERIVATIVES AS SELECTIVE SEROTONIN REUPTAKE INHIBITORS"" ", 1)BRISTOL-MYERS SQUIBB COMPANY  ,"P.O. BOX 4000, LAWRENCEVILLE-PRINCETON ROAD, PRINCETON, NEW JERSEY 08543-4000, UNITED STATES OF AMERICA ", 1)RONALD J. MATTSON 2)DEREK JOHN DENHART 3)JEFFREY A. DESKUS 4)JONATHAN L. DITTA 5)LAWRENCE R. MARCIN 6)JAMES R. EPPERSON 7)JOHN D. CATT 8)DALTON KING 9)MENDI A. HIGGINS ,"The present invention relates to compounds of Formula (I) and pharmaceutically acceptable salts or solvates thereof and pharmaceutically acceptable formulations comprising said compounds useful for the treatment of depression, anxiety disorders, premature ejaculation, chronic pain, obsessive-compulsive disorder, feeding disorders, premenstrual dysphoric disorder, panic disorders and psychotic-disorders including bipolar disorder and schizophrenia.  ",158
2918/DELNP/2009 A ,01/05/2009,01/01/2010,"""FRONT ELECTRODE WITH THIN METAL FILM LAYER AND HIGH WORK-FUNCTION BUFFER LAYER FOR USE IN PHOTOVOLTAIC DEVICE AND METHOD OF MAKING SAME"" ", 1)GUARDIAN INDUSTRIES CORP.  ,"2300 HARMON ROAD, AUBURN HILLS, MI 48326 - 1714, U.S.A. "," 1)KRASNOV, ALEXEY ","This invention relates to a front electrode or contact for use in an electronic device such as a photovoltaic device. In certain example embodiments, the front electrode of the photovoltaic device includes a highly conductive metal film and a thin high work-function buffer layer. The high-work function buffer layer is located between the metal film and the uppermost semiconductor layer so as to provide for substantial work-function matching between the metal film and the high work-function uppermost semiconductor layer so as to reduce a potential barrier for holes extracted from the device by the front electrode/contact. Optionally, a layer such as a transparent conductive oxide (TCO) or a dielectric may be provided between a front glass substrate and the metal film.  ",22
2920/DELNP/2009 A ,01/05/2009,01/01/2010,AN INTRAORAL CPAP INTERFACE , 1)DISCOVER MEDICAL DEVICES LTD.  ,27 Habarzel St. Tel-Aviv 69710 Israel , 1)MADJAR David ,"An intraoral continuous positive airway pressure (CPAP) interface that comprises a tube connected to a source of positive air pressure, and a shield connected to, or integrally formed with, the tube and adapted to be inserted within buccal sulci in such a way that facilitates oral cavity sealing. The shield has a central part formed with an aperture in communication with the tube, and right and left longitudinally extending projections adjoining, and of substantial bilateral symmetry with respect to the central part. Each of the projections has adjoining upper and lower regions and each of the regions has adjoining proximal and distal portions, Each of the projections is dimensioned such that a distal portion has a thickness substantially e...  ",38
2995/DELNP/2009 A ,05/05/2009,01/01/2010,METHOD FOR INPUTTING AND SEARCHING INFORMATION ABOUT AN OBJECT IN A REMOTE DATABASE ," 1)BREDIKHIN, ALEKSANDR YUREVICH  ","UGLOVOI PER. 12 KLIN, MOSKOVSKAYA 0BL.141601, RUSSIA "," 1)BREDIKHIN, ALEKSANDR YUREVICH 2)SERGEICHEV, NIKOLAI EVGENEVICH ","The claimed method includes transmitting an object ID containing message from a mobile communication terminal via the network of the Global System for Mobile Communications through a mobile network operator equipment and by means of the Internet network to a server. At least one word is used as an object ID containing message transmitted from a mobile communication terminal. When searching for an object ID in the database the server compares the word with domain names. If the user of a mobile communication terminal finds a matching domain name, the server transmits a subscriber""s phone number to him. Then, the mobile communication terminal initiates connection to that phone number by making a voice call to the subscriber""s phone number. The method enables to expand functional capabilities, speed up search, decrease volumes of information transmitted, reduce load on telecommunications networks and their equipment.  ",26
1043/DELNP/2003 A ,04/07/2003,01/01/2010,"""LOOP PILE FABRICS AND METHODS FOR MAKING SAME"" ", 1)MILLIKEN & COMPANY  ,"920 MILLIKEN ROAD, SPARTANBURG, SC 29303, U.S.A ", 1)HEATHER J. HAYES 2)MICHAEL P. SASSER 3)BRIAN G.MORIN 4)MAYNARD WOOD ,"A lightweight loop pile fabric having improved particle pick-up is described. In addition, a patterned loop pile fabric is described. The fabric has a plurality of multifilament loops extending from at least one of its surfaces, with at least some of the loops being teased (12""). In one embodiment, the loops are formed from splittable multifilament yarns which are hypersplit during the manufacturing process to form teased loops (12""). The fabrics perform particularly well in the manufacture of wiping cloths with enhanced performance characteristics. In addition, the fabrics enable the production of patterned articles having performance characteristics similar to or exceeding those of unpatterned goods. A process for making the fabrics is also described.  ",22
1144/DELNP/2004 A ,28/04/2004,01/01/2010,"""SYSTEMS AND METHODS FOR INTERFACING WITH COMPUTER DEVICES"" ", 1)MICROSOFT CORPORATION  ,"ONE MICROSOFT WAY, REDMOND, WASHINGTON 98052, U.S.A. ", 1)ERIC J. GOULD BEAR 2)WILLIAM HONG VONG 3)LEROY B. KEELY 4)BARBEE E. TEASLEY 5)ADAM J. RICHARDSON 6)MICHAEL H. TSANG 7)MICHAEL D. FOGARTY 8)KENNETH P. HINCKLEY ,"The present invention provides a systems, methods, and products for enhanced user navigation to compliment (but not necessarily replace) a computer keyboard and mouse by providing a robust navigation interface. The present invention may comprisea minimally necessary group of commands; combining the functionality a set of at least two command calls into a single logical button; for a single button, prioritizing a set of command calls from first to last and then calling each until one is accepted; logically remapping commands to buttons for a navigational device coupled to a physically rotate-able display device; and mapping a substitute command to a logical button for when the button is engaged in a predetermined manner other than the primary manner in which the logical button is engaged (e.g., double-clicking, flicking, press-and-hold, etc.) so that a substitute command can in fact be issued, among others.  ",67
2994/DELNP/2009 A ,05/05/2009,01/01/2010,"""METHOD OF MICRONIZATION"" ", 1)OMRIX BIOPHARMACEUTICALS LTD.  ,"WEIZMANN SCIENCE PARK, 14B EINSTEIN STREET, 74036 NES-ZIONA, ISRAEL ", 1)NUR ISRAEL 2)BAR LILIANA ,"A method for micronization of a dispersion of particles comprising a protein having a predetermined level of biological activity. The method comprises introducing the dispersion into a vortex chamber milling apparatus under milling conditions which result in a protein powder having a particle size distribution of 5 to 100 urn and/or exhibiting a 30 to 400 fold size reduction of the protein particle dispersion from its original size, and retaining at least 80% of the predetermined level of biological activity of the protein. The milling conditions include one or more parameters selected from the followinginput pressure between 1 and 7 Bars; injector pressure between 0.2 and 5 Bars; loading rate between 0.1 and 5 kg/hour; and gas flow between 30 and 100 m3/hour.  ",24
3078/DELNP/2009 A ,11/05/2009,01/01/2010,"""SPINK1 AS A PROSTATE CANCER MARKER AND USES THEREOF"" ", 1)THE REGENTS OF THE UNIVERSITY OF MICHIGAN  ,"3003 SOUTH STATE STREET, SUITE 2071, ANN ARBOR, MICHIGAN, 48109-1280, U.S.A. "," 1)CHINNAIYAN, ARUL M. 2)TOMLINS, SCOTT A. 3)RHODES, DANIEL R. 4)MEHRA, ROHIT ","Compositions and methods for cancer research, diagnosis, and treatment, including but not limited to, cancer markers are provided. In particular, SPINKl and other markers for prostate cancer are provided.  ",78
3081/DELNP/2009 A ,11/05/2009,01/01/2010,"""ATMOSPHERIC PRESSURE PLASMA-INDUCED GRAFT POLYMERIZATION"" ", 1)THE REGENTS OF THE UNIVERSITY OF CALIFORNIA  ,"1111 FRANKLIN STREET OAKLAND, CA 94607-5200 U.S.A. "," 1)COHEN, YORAM 2)LEWIS, GREGORY, T. ","A method of modifying a polymeric, inorganic, or organic-functionalized substrate surface is provided. In one embodiment, an atmospheric pressure (AP) plasma stream is directed at a substrate surface, leading to the formation of surface-bound active sites that function as polymerization initiators. When contacted with a monomer or monomer solution, the active sites facilitate formation of a dense array of graft polymers covalently bound to the substrate surface. In another embodiment, an inorganic substrate is cleaned, conditioned in a humidity chamber, treated with an AP plasma, and contacted with a monomer or monomer solution to facilitate formation and growth of graft polymers on the substrate surface.  ",76
1257/DELNP/2004 A ,11/05/2004,01/01/2010,"""METHOD OF AND EQUIPMENT FOR THE REHABILITATION OF WATER WELLS"" ", 1)RADICAL WATERS IP (PTY) LIMITED  ,"NO.3/458 WEST STREET, GLEN AUSTIN EXT. 3, 1685 MIDRAND, OF SOUTH AFRICA. "," 1)HINZE, GILBERT, THEO ","The invention relates to a method of rehabilitating a borehole or water well, the method comprising introducing an electrolytically activated, dilute aqueous saline solution into the water well, wherein the solution is either an anolyte or a catholyte or a mixture of anolyte and catholyteand wherein the elecirolytically activated, dilute aqueous saline solution is introduced either in a space above the water line or below the waterline. The invention also extends to a biocompatible and pollution free reagent adapted at least partially to eliminate biofilm in boreholes and waters wells, and to an electromechanical device for use in such a method.  ",25
1526/DELNP/2003 A ,23/09/2003,01/01/2010,"""N-BUT-3-ENYL NORBUPRENORPHINE AND METHODS OF USE"" ", 1)EURO-CELITIQUE S.A  ,"122, BOULEVARD DE LA PETRUSSE, L-2330 LUXEMBOURG, Luxembourg "," 1)REIDENBERG, BRUCE, E 2)GALE, DONNA-DONIGI 3)SRINIVASAN, VINAYAK, J ","The present invention provides compound having the structureand pharmaceutically acceptable salts or derivatives thereof, as well as compositions including such compounds. The invention also provides methods of (1) preventing pain, (2) treating pain, (.3) inducing sedation, (4) treating opiate addiction, (5) treating opiate withdrawal (abstinence syndrome) and/or (6) treating cough in a patient in need thereof by administering a compound or composition of the invention.  ",29
1582/DELNP/2003 A ,01/10/2003,01/01/2010,"""PESTICIDAL COMPOSITIONS CONTAINING SILICON COMPOUNDS"" ", 1)KIDRON AGROCHEM LTD  ,"BIALIK STREET 155, 52523 RAMAT GAN, ISRAEL "," 1)GUZMAN, JOSEF 2)PAZ, ASAF 3)TSIVION, YORAM ","The present invention deals with pesticidal compositions comprising as the active component a silicon ester of formula (I), and a method for controlling insects, mites, nematodes and fungi, by the application of such a composition. The invention is further directed to a method for the preparation silicon esters of formula (I) and some such novel compounds.  ",17
2914/DELNP/2009 A ,01/05/2009,01/01/2010,DEVICE AND METHOD FOR IMPROVING FUNCTION OF HEART VALVE , 1)MEDTENTIA AB  ,Ole RÇômers vÇÏg 12 S-233 70 Lund SWEDEN Sweden , 1)KERÇ„NEN Olli ,"A device (40) for improving the function of a heart valve comprises a first loop-shaped support (42), which is configured to abut a first side of the heart valve, and a first flange unit (50) being connected to said first loop- shaped support. The flange unit is configured to be arranged against said annulus (20) when said first loop- shaped support is abutting said heart valve.  ",44
2915/DELNP/2009 A ,01/05/2009,01/01/2010,"""ADJUSTABLE CLOTHES HANGER"" ", 1)SUPERIOR ALTERNATIVE INNOVATIONS PTY LTD.  ,"375 SHAKESPEARE STREET, MACKAY, QUEENSLAND 4740, AUSTRALIA. "," 1)MUNRO, PETER, JAMES ","An adjustable clothing hanger including a pair of side members (104, 106) selectively adjustable relative to a hanger body (102) and in moveable relationship with upper and lower cross bars (108, 110). The hanger may also include a lockably rotatable hood (100).  ",21
